username,tanggal,tweet,sentimen
pkmjangkar,2022-03-07 23:58:20,".update jadwal vaksinasi covid-19 UPT Puskesmas Jangkar

Selasa, 08 Maret 2022
""Vaksin Aman""
""Vaksin Halal""
""Masyarakat Sehat""
""Indonesia Kuat

@dinkes_situbondo 
Mans__I6,2022-03-07 10:44:22,"Asing beroperasi menguasai 
para pemimpin menikmati 
mahasiswa nya tertidur dalam mimpi
DPRnya asik dgn jatah bulanan yg semakin naik KIAN TINGGI
rakyat &amp; generasi penerus bangsa mati dgn covid, &amp; dgn vaksin yg tak teruji
Ulama2 ditakut2i &amp; di intimidasi"
Ujang_Emul,2022-03-07 10:44:17,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
ipdanrama,2022-03-07 10:42:27,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
sapotahuenak,2022-03-07 10:42:16,"gw sama suami sampai sekarang Puji Tuhan masih belum perna kena covid. herannya, dua anak kami (6 &amp; 3 th) baru aja positive covid. apa karna uda vaksin 4x, jadinya ""kebal"" covid? https://t.co/CsUUHKFvL6"
sekte_covid,2022-03-07 10:41:06,"@detikcom Stok alat tes menipis, stok vaksin masih banyak😆"
wiyono_broto,2022-03-07 10:41:03,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
ranggafyssn,2022-03-07 10:39:26,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
tirthoadji,2022-03-07 10:38:10,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
faridansyahhhh,2022-03-07 10:37:51,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
DivHumas_Polri,2022-03-07 10:36:46,"TAHUKAH KAMU FAKTA TENTANG VAKSIN COVID-19? 

Halo Sobat Polri, vaksin Covid-19 adalah jenis vaksin yang dikembangkan untuk meningkatkan imun tubuh terhadap virus SARS-CoV-2 yang menyebabkan penyakit Covid-19. https://t.co/9lpETl9JMF"
adejulandha,2022-03-07 10:34:42,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
NicoDwiP,2022-03-07 10:34:18,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
nasitanpauduk,2022-03-07 10:31:59,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
Radar_Cirebon,2022-03-07 10:30:55,"https://t.co/fEiZM1kmdU - Vaksin Sinovac dipilih Malaysia setelah hasil uji klinik yang sudah dilakukan, dan dinyatakan Anak 5 Tahun boleh divaksin pakai sinovac. https://t.co/2SDvI6L9vq"
Andre_joevhy,2022-03-07 10:30:09,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
idntimes,2022-03-07 10:30:00,"Sebuah video viral di jagat maya Twitter memperlihatkan seorang anak berbaju seragam SD yang dinarasikan berasal dari Suku Baduy, Lebak, Banten kebal terhadap jarum suntik vaksin COVID-19.

https://t.co/xA0Chj48U0 https://t.co/9GagRKLZJJ"
YM__bchtr,2022-03-07 10:28:14,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
aray_christian,2022-03-07 10:28:10,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
aganurcholis_,2022-03-07 10:26:42,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
KarenZhie,2022-03-07 10:25:37,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
actorPryanggy,2022-03-07 10:24:16,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
KibataraK,2022-03-07 10:23:27,"SEMENTARA ITU APA...
KEMENDAG TIDAK TAU
RAKYAT MENDAPATKAN
MIGOR MELALUI APA ??

BAHKAN RELA2 ANTRI..
HARGA MIGOR MURAH
DARI PARTAI2/PETUGAS
VAKSIN COVID 19...
. https://t.co/AzfVXoGIYZ"
Evolto15,2022-03-07 10:22:53,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
s_putra_d,2022-03-07 10:21:46,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
ruzliezt,2022-03-07 10:20:32,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
mumeeeeet,2022-03-07 10:18:48,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
johorfm,2022-03-07 10:18:06,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/4vfvbOLfG8…

https://t.co/ijohxFlMJT https://t.co/yT8UuEXb4Z"
Yudi_Rossih,2022-03-07 10:17:54,"Asing beroperasi menguasai 
para pemimpin menikmati 
mahasiswa nya tertidur dalam mimpi
DPRnya asik dgn jatah bulanan yg semakin naik KIAN TINGGI
rakyat &amp; generasi penerus bangsa mati dgn covid, &amp; dgn vaksin yg tak teruji
Ulama2 ditakut2i &amp; di intimidasi"
dwyt_farm,2022-03-07 10:17:46,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
asj0203,2022-03-07 10:17:18,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
aan_muba,2022-03-07 10:17:07,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
lawancovid19_id,2022-03-07 10:15:34,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv. Berbagai informasi mengenai vaksin COVID-19 tersedia di https://t.co/U0IVF5VDYz

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER #PakaiMasker #CepatVaksin"
SUBHI_80,2022-03-07 10:14:16,"Kajian terkini RECoVaM di Malaysia menunjukkan &gt;90% keberkesanan terhadap jangkitan #COVID-19 daripada vaksin primer + dos penggalak berbanding dua dos lengkap.

#RECoVaM
#MenangBersama
#LindungDiriLindungSemua
#KeluargaMalaysia
#JabatanPenerangan https://t.co/wrT2yJp8xv"
YarKusworo,2022-03-07 10:11:47,"Kapan Bisa Vaksin Booster Jika Positif Covid-19?

Penyintas Covid-19 atau orang yang sudah sembuh dari Covid-19 juga direkomendasikan untuk mendapatkan vaksin booster

Sumber : https://t.co/hIa0HoatcT https://t.co/ROv01YWqm5"
panggilphiaja,2022-03-07 10:10:43,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
siticeriaselalu,2022-03-07 10:10:42,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
Zulfani_Rahman,2022-03-07 10:09:50,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
benjol71,2022-03-07 10:09:48,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
iyas_andrias,2022-03-07 10:09:00,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
SpartanNKRI,2022-03-07 10:07:30,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
jhondav69331174,2022-03-07 10:07:27,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
titiktitikblank,2022-03-07 10:07:09,"Vaksin yang tersedia mesti dimanfaatkan sebaik mungkin agar tidak kedaluwarsa. Apalagi hingga saat ini ada banyak warga di Indonesia dan di negara lain yang belum mendapatkan vaksin Covid-19. #Kesehatan #AdadiKompas

https://t.co/se2EkgPYy6"
Henrys_18,2022-03-07 10:06:59,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
711Yonif,2022-03-07 10:06:50,"*PROGRAM VAKSINASI TAHAP KETIGA UNTUK ANGGOTA SATGAS PAMTAS RI-PNG YONIF 711/RAKSATAMA* 

Jayapura -Satgas Pamtas RI-PNG Yonif 711/Rks melaksanakan vaksinasi Covid-19 tahap ketiga (vaksin booster), bertempat di Poliklinik Polres Keerom, Kabupaten Keerom, Jayapura. https://t.co/4uWnU4CdrF"
D_N4bil5,2022-03-07 10:06:48,"Erick Thohir mengatakan sinergitas antara Kemen BUMN, Kemen Kesehatan, dan Kemen Luar Negeri menjadi kunci agar bisa mendapat kepercayaan dari WHO hingga memberikan kepercayaan kepada Indonesia untuk membuat vaksin mRNA,""
#DenganETMerdekaBerdaulat
https://t.co/ExMMQsvrXn https://t.co/RdRRB8GsRe"
YoyokSubandriy3,2022-03-07 10:06:24,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
NightKesatria,2022-03-07 10:06:23,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
KesatriaBajaHi9,2022-03-07 10:06:23,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
Rakyat_Merdeka9,2022-03-07 10:05:55,"Asalkan Sudah Divaksin Lengkap Coming Soon, Naik Pesawat-KA Tak Perlu Tes Covid Lagi

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/LJMWqwYgMq"
Rakyat_Merdeka9,2022-03-07 10:05:39,"Kasus Aktif Covid-19 Di Jakarta Turun 800, BOR Tinggal 29 Persen

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/7dQsIFmDYO"
panggilajarill,2022-03-07 10:05:27,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
beritamanado,2022-03-07 10:05:21,Berita terbaru: Kabar Baik! Lengkap Vaksin Tak Perlu Lagi Antigen dan PCR di https://t.co/IO3DISSpai #Tes_Antigen #Tes_Pcr #Vaksinasi_Covid
James29861485,2022-03-07 10:05:20,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
gethoen_,2022-03-07 10:04:29,"Asing beroperasi menguasai 
para pemimpin menikmati 
mahasiswa nya tertidur dalam mimpi
DPRnya asik dgn jatah bulanan yg semakin naik KIAN TINGGI
rakyat &amp; generasi penerus bangsa mati dgn covid, &amp; dgn vaksin yg tak teruji
Ulama2 ditakut2i &amp; di intimidasi"
ghifaripp,2022-03-07 10:04:28,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
dhu_dhuan,2022-03-07 10:04:06,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
natasyariscaa,2022-03-07 10:03:58,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
EkonomiTerkini,2022-03-07 10:03:48,"Asalkan Sudah Divaksin Lengkap Coming Soon, Naik Pesawat-KA Tak Perlu Tes Covid Lagi

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/LJMWqwYgMq"
EkonomiTerkini,2022-03-07 10:03:12,"Kasus Aktif Covid-19 Di Jakarta Turun 800, BOR Tinggal 29 Persen

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/7dQsIFmDYO"
OomYan_22,2022-03-07 10:03:05,"Asing beroperasi menguasai 
para pemimpin menikmati 
mahasiswa nya tertidur dalam mimpi
DPRnya asik dgn jatah bulanan yg semakin naik KIAN TINGGI
rakyat &amp; generasi penerus bangsa mati dgn covid, &amp; dgn vaksin yg tak teruji
Ulama2 ditakut2i &amp; di intimidasi"
ReizaPramudana1,2022-03-07 10:02:55,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
tribunpontianak,2022-03-07 10:02:38,"Menurut Luhut Binsar Panjaitan, warga yang sudah vaksin dosis kedua tak perlu menunjukkan bukti tes antigen dan pcr negatif.
 
https://t.co/wn4nZdCDpu lewat @tribunpontianak 

#COVID19 #COVID #Penerbangan #PCR #Antigen"
_rakyatmerdeka,2022-03-07 10:02:35,"Asalkan Sudah Divaksin Lengkap Coming Soon, Naik Pesawat-KA Tak Perlu Tes Covid Lagi

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/LJMWqwYgMq"
e100ss,2022-03-07 10:01:39,"#FlashNews Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi mengatakan, pemerintah menghapus syarat tes Covid-19 PCR dan antigen bagi pelaku perjalanan darat, laut, dan udara rute domestik yang sudah menerima vaksin corona dosis lengkap. https://t.co/ZQxKZgWnML"
tobiin,2022-03-07 10:01:27,udah saatnya tes covid buat syarat perjalanan bagi yg sudah vaksin dihapuskan
bimo_kml,2022-03-07 10:01:13,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
tandokshorns,2022-03-07 10:00:46,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
Nnattassa,2022-03-07 10:00:04,"MIS-C adalah salah satu penyakit yg serius akibat jangkitan COVID-19 di kalangan kanak2. MIS-C ini boleh membawa bahaya dan maut.

Tujuh kes telah disahkan meninggal dunia akibat MIS-C

Dapatkan vaksin COVID-19 untuk kanak-kanak berumur 5-11 tahun dengan segera. https://t.co/3ZkbU2nwfL"
AChamplads,2022-03-07 09:58:50,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
diankrisandi,2022-03-07 09:58:27,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk
nnadyaap,2022-03-07 09:58:26,"@kumparan Vaksin tuh bukan tiket bebas covid. Yg udah booster aja masih banyak yg kena. Sedih, banyak yg happy sama berita ini :("
ameenshh,2022-03-07 09:56:34,"Ramai positive covid sekarang ni. Kira beruntung sesiapa yang dari belum vaksin sehingga dah vaksin, selamat dari dijangkiti. Semoga yang tidak sihat diberi kesembuhan. Semoga yang diuji kehilangan, Allah berikan kekuatan. May Allah protect us all. Stay safe."
WongAlasRoban,2022-03-07 09:55:40,"Alhamdulillah, semoga peraturannya cepat keluar dan pendemi covid cepat hilang dari bumi Pertiwi, serta kita semua terhindar dari penularan covid...

https://t.co/0kVqq1X3DI"
EdwarFeggy,2022-03-07 09:53:34,"Airlangga Hartarto mengatakan, penonton MotoGP di Mandalika tidak perlu lagi tes Covid-19 saat memasuki tribun penonton. #TempoBisnis https://t.co/iW4jCnQhGG"
republikaonline,2022-03-07 09:52:49,Pemerintah masih menargetkan 208.265.720 orang sebagai sasaran vaksinasi COVID-19. https://t.co/kUp43nm5mL
